M,T,B,L,Elasticity
1.00,1.60,4.00,8.00,1818.66
1.00,1.60,4.00,9.00,2036.13
1.00,1.60,4.00,10.00,2253.60
1.00,1.60,4.00,11.00,2471.07
1.00,1.60,4.00,12.00,2688.54
1.00,1.60,4.50,8.00,1478.75
1.00,1.60,4.50,9.00,1655.57
1.00,1.60,4.50,10.00,1832.40
1.00,1.60,4.50,11.00,2009.23
1.00,1.60,4.50,12.00,2186.05
1.00,1.60,5.00,8.00,1233.50
1.00,1.60,5.00,9.00,1381.00
1.00,1.60,5.00,10.00,1528.50
1.00,1.60,5.00,11.00,1676.00
1.00,1.60,5.00,12.00,1823.50
1.00,1.60,5.50,8.00,1046.31
1.00,1.60,5.50,9.00,1171.42
1.00,1.60,5.50,10.00,1296.54
1.00,1.60,5.50,11.00,1421.66
1.00,1.60,5.50,12.00,1546.77
1.00,1.60,6.00,8.00,882.65
1.00,1.60,6.00,9.00,988.19
1.00,1.60,6.00,10.00,1093.74
1.00,1.60,6.00,11.00,1199.29
1.00,1.60,6.00,12.00,1304.83
1.00,2.00,4.00,8.00,3269.80
1.00,2.00,4.00,9.00,3660.80
1.00,2.00,4.00,10.00,4051.80
1.00,2.00,4.00,11.00,4442.80
1.00,2.00,4.00,12.00,4833.80
1.00,2.00,4.50,8.00,2746.54
1.00,2.00,4.50,9.00,3074.97
1.00,2.00,4.50,10.00,3403.40
1.00,2.00,4.50,11.00,3731.83
1.00,2.00,4.50,12.00,4060.26
1.00,2.00,5.00,8.00,2246.69
1.00,2.00,5.00,9.00,2515.34
1.00,2.00,5.00,10.00,2784.00
1.00,2.00,5.00,11.00,3052.66
1.00,2.00,5.00,12.00,3321.31
1.00,2.00,5.50,8.00,1909.52
1.00,2.00,5.50,9.00,2137.86
1.00,2.00,5.50,10.00,2366.20
1.00,2.00,5.50,11.00,2594.54
1.00,2.00,5.50,12.00,2822.88
1.00,2.00,6.00,8.00,1649.51
1.00,2.00,6.00,9.00,1846.75
1.00,2.00,6.00,10.00,2044.00
1.00,2.00,6.00,11.00,2241.25
1.00,2.00,6.00,12.00,2438.49
1.00,2.40,4.00,8.00,4983.39
1.00,2.40,4.00,9.00,5579.29
1.00,2.40,4.00,10.00,6175.20
1.00,2.40,4.00,11.00,6771.11
1.00,2.40,4.00,12.00,7367.01
1.00,2.40,4.50,8.00,4333.91
1.00,2.40,4.50,9.00,4852.16
1.00,2.40,4.50,10.00,5370.40
1.00,2.40,4.50,11.00,5888.64
1.00,2.40,4.50,12.00,6406.89
1.00,2.40,5.00,8.00,3622.78
1.00,2.40,5.00,9.00,4055.99
1.00,2.40,5.00,10.00,4489.20
1.00,2.40,5.00,11.00,4922.41
1.00,2.40,5.00,12.00,5355.62
1.00,2.40,5.50,8.00,3164.81
1.00,2.40,5.50,9.00,3543.26
1.00,2.40,5.50,10.00,3921.70
1.00,2.40,5.50,11.00,4300.14
1.00,2.40,5.50,12.00,4678.59
1.00,2.40,6.00,8.00,2690.70
1.00,2.40,6.00,9.00,3012.45
1.00,2.40,6.00,10.00,3334.20
1.00,2.40,6.00,11.00,3655.95
1.00,2.40,6.00,12.00,3977.70
1.00,2.80,4.00,8.00,7172.78
1.00,2.80,4.00,9.00,8030.49
1.00,2.80,4.00,10.00,8888.20
1.00,2.80,4.00,11.00,9745.91
1.00,2.80,4.00,12.00,10603.62
1.00,2.80,4.50,8.00,6057.66
1.00,2.80,4.50,9.00,6782.03
1.00,2.80,4.50,10.00,7506.40
1.00,2.80,4.50,11.00,8230.77
1.00,2.80,4.50,12.00,8955.14
1.00,2.80,5.00,8.00,5282.14
1.00,2.80,5.00,9.00,5913.77
1.00,2.80,5.00,10.00,6545.40
1.00,2.80,5.00,11.00,7177.03
1.00,2.80,5.00,12.00,7808.66
1.00,2.80,5.50,8.00,4586.34
1.00,2.80,5.50,9.00,5134.77
1.00,2.80,5.50,10.00,5683.20
1.00,2.80,5.50,11.00,6231.63
1.00,2.80,5.50,12.00,6780.06
1.00,2.80,6.00,8.00,4015.79
1.00,2.80,6.00,9.00,4496.00
1.00,2.80,6.00,10.00,4976.20
1.00,2.80,6.00,11.00,5456.40
1.00,2.80,6.00,12.00,5936.61
1.00,3.20,4.00,8.00,9512.59
1.00,3.20,4.00,9.00,10650.10
1.00,3.20,4.00,10.00,11787.60
1.00,3.20,4.00,11.00,12925.10
1.00,3.20,4.00,12.00,14062.61
1.00,3.20,4.50,8.00,8286.11
1.00,3.20,4.50,9.00,9276.96
1.00,3.20,4.50,10.00,10267.80
1.00,3.20,4.50,11.00,11258.64
1.00,3.20,4.50,12.00,12249.49
1.00,3.20,5.00,8.00,7308.03
1.00,3.20,5.00,9.00,8181.92
1.00,3.20,5.00,10.00,9055.80
1.00,3.20,5.00,11.00,9929.68
1.00,3.20,5.00,12.00,10803.57
1.00,3.20,5.50,8.00,6377.08
1.00,3.20,5.50,9.00,7139.64
1.00,3.20,5.50,10.00,7902.20
1.00,3.20,5.50,11.00,8664.76
1.00,3.20,5.50,12.00,9427.32
1.00,3.20,6.00,8.00,5587.99
1.00,3.20,6.00,9.00,6256.20
1.00,3.20,6.00,10.00,6924.40
1.00,3.20,6.00,11.00,7592.60
1.00,3.20,6.00,12.00,8260.81
2.00,1.60,4.00,8.00,179.19
2.00,1.60,4.00,9.00,200.61
2.00,1.60,4.00,10.00,222.04
2.00,1.60,4.00,11.00,243.47
2.00,1.60,4.00,12.00,264.89
2.00,1.60,4.50,8.00,145.69
2.00,1.60,4.50,9.00,163.11
2.00,1.60,4.50,10.00,180.53
2.00,1.60,4.50,11.00,197.95
2.00,1.60,4.50,12.00,215.37
2.00,1.60,5.00,8.00,121.53
2.00,1.60,5.00,9.00,136.06
2.00,1.60,5.00,10.00,150.59
2.00,1.60,5.00,11.00,165.12
2.00,1.60,5.00,12.00,179.65
2.00,1.60,5.50,8.00,103.08
2.00,1.60,5.50,9.00,115.41
2.00,1.60,5.50,10.00,127.74
2.00,1.60,5.50,11.00,140.06
2.00,1.60,5.50,12.00,152.39
2.00,1.60,6.00,8.00,86.96
2.00,1.60,6.00,9.00,97.36
2.00,1.60,6.00,10.00,107.76
2.00,1.60,6.00,11.00,118.15
2.00,1.60,6.00,12.00,128.55
2.00,2.00,4.00,8.00,322.15
2.00,2.00,4.00,9.00,360.68
2.00,2.00,4.00,10.00,399.20
2.00,2.00,4.00,11.00,437.72
2.00,2.00,4.00,12.00,476.25
2.00,2.00,4.50,8.00,270.59
2.00,2.00,4.50,9.00,302.94
2.00,2.00,4.50,10.00,335.30
2.00,2.00,4.50,11.00,367.66
2.00,2.00,4.50,12.00,400.01
2.00,2.00,5.00,8.00,221.34
2.00,2.00,5.00,9.00,247.81
2.00,2.00,5.00,10.00,274.28
2.00,2.00,5.00,11.00,300.75
2.00,2.00,5.00,12.00,327.22
2.00,2.00,5.50,8.00,188.13
2.00,2.00,5.50,9.00,210.62
2.00,2.00,5.50,10.00,233.12
2.00,2.00,5.50,11.00,255.62
2.00,2.00,5.50,12.00,278.11
2.00,2.00,6.00,8.00,162.51
2.00,2.00,6.00,9.00,181.95
2.00,2.00,6.00,10.00,201.38
2.00,2.00,6.00,11.00,220.81
2.00,2.00,6.00,12.00,240.25
2.00,2.40,4.00,8.00,490.96
2.00,2.40,4.00,9.00,549.67
2.00,2.40,4.00,10.00,608.38
2.00,2.40,4.00,11.00,667.09
2.00,2.40,4.00,12.00,725.80
2.00,2.40,4.50,8.00,426.98
2.00,2.40,4.50,9.00,478.04
2.00,2.40,4.50,10.00,529.10
2.00,2.40,4.50,11.00,580.16
2.00,2.40,4.50,12.00,631.22
2.00,2.40,5.00,8.00,356.92
2.00,2.40,5.00,9.00,399.60
2.00,2.40,5.00,10.00,442.28
2.00,2.40,5.00,11.00,484.96
2.00,2.40,5.00,12.00,527.64
2.00,2.40,5.50,8.00,302.93
2.00,2.40,5.50,9.00,339.16
2.00,2.40,5.50,10.00,375.38
2.00,2.40,5.50,11.00,411.60
2.00,2.40,5.50,12.00,447.83
2.00,2.40,6.00,8.00,265.08
2.00,2.40,6.00,9.00,296.78
2.00,2.40,6.00,10.00,328.48
2.00,2.40,6.00,11.00,360.18
2.00,2.40,6.00,12.00,391.88
2.00,2.80,4.00,8.00,706.67
2.00,2.80,4.00,9.00,791.18
2.00,2.80,4.00,10.00,875.68
2.00,2.80,4.00,11.00,960.18
2.00,2.80,4.00,12.00,1044.69
2.00,2.80,4.50,8.00,596.81
2.00,2.80,4.50,9.00,668.17
2.00,2.80,4.50,10.00,739.54
2.00,2.80,4.50,11.00,810.91
2.00,2.80,4.50,12.00,882.27
2.00,2.80,5.00,8.00,520.40
2.00,2.80,5.00,9.00,582.63
2.00,2.80,5.00,10.00,644.86
2.00,2.80,5.00,11.00,707.09
2.00,2.80,5.00,12.00,769.32
2.00,2.80,5.50,8.00,451.86
2.00,2.80,5.50,9.00,505.89
2.00,2.80,5.50,10.00,559.92
2.00,2.80,5.50,11.00,613.95
2.00,2.80,5.50,12.00,667.98
2.00,2.80,6.00,8.00,395.66
2.00,2.80,6.00,9.00,442.97
2.00,2.80,6.00,10.00,490.28
2.00,2.80,6.00,11.00,537.59
2.00,2.80,6.00,12.00,584.90
2.00,3.20,4.00,8.00,937.20
2.00,3.20,4.00,9.00,1049.27
2.00,3.20,4.00,10.00,1161.34
2.00,3.20,4.00,11.00,1273.41
2.00,3.20,4.00,12.00,1385.48
2.00,3.20,4.50,8.00,816.38
2.00,3.20,4.50,9.00,914.00
2.00,3.20,4.50,10.00,1011.62
2.00,3.20,4.50,11.00,1109.24
2.00,3.20,4.50,12.00,1206.86
2.00,3.20,5.00,8.00,720.01
2.00,3.20,5.00,9.00,806.10
2.00,3.20,5.00,10.00,892.20
2.00,3.20,5.00,11.00,978.30
2.00,3.20,5.00,12.00,1064.39
2.00,3.20,5.50,8.00,628.28
2.00,3.20,5.50,9.00,703.41
2.00,3.20,5.50,10.00,778.54
2.00,3.20,5.50,11.00,853.67
2.00,3.20,5.50,12.00,928.80
2.00,3.20,6.00,8.00,550.54
2.00,3.20,6.00,9.00,616.37
2.00,3.20,6.00,10.00,682.20
2.00,3.20,6.00,11.00,748.03
2.00,3.20,6.00,12.00,813.86
3.00,1.60,4.00,8.00,1236.37
3.00,1.60,4.00,9.00,1384.22
3.00,1.60,4.00,10.00,1532.06
3.00,1.60,4.00,11.00,1679.90
3.00,1.60,4.00,12.00,1827.75
3.00,1.60,4.50,8.00,1005.26
3.00,1.60,4.50,9.00,1125.47
3.00,1.60,4.50,10.00,1245.68
3.00,1.60,4.50,11.00,1365.89
3.00,1.60,4.50,12.00,1486.10
3.00,1.60,5.00,8.00,838.54
3.00,1.60,5.00,9.00,938.81
3.00,1.60,5.00,10.00,1039.08
3.00,1.60,5.00,11.00,1139.35
3.00,1.60,5.00,12.00,1239.62
3.00,1.60,5.50,8.00,711.29
3.00,1.60,5.50,9.00,796.34
3.00,1.60,5.50,10.00,881.40
3.00,1.60,5.50,11.00,966.46
3.00,1.60,5.50,12.00,1051.51
3.00,1.60,6.00,8.00,600.02
3.00,1.60,6.00,9.00,671.77
3.00,1.60,6.00,10.00,743.52
3.00,1.60,6.00,11.00,815.27
3.00,1.60,6.00,12.00,887.02
3.00,2.00,4.00,8.00,2222.80
3.00,2.00,4.00,9.00,2488.60
3.00,2.00,4.00,10.00,2754.40
3.00,2.00,4.00,11.00,3020.20
3.00,2.00,4.00,12.00,3286.00
3.00,2.00,4.50,8.00,1867.08
3.00,2.00,4.50,9.00,2090.34
3.00,2.00,4.50,10.00,2313.60
3.00,2.00,4.50,11.00,2536.86
3.00,2.00,4.50,12.00,2760.12
3.00,2.00,5.00,8.00,1527.28
3.00,2.00,5.00,9.00,1709.91
3.00,2.00,5.00,10.00,1892.54
