T,B,L,Elasticity
1.6,4,8,1818.6552
1.6,4,9,2036.1276
1.6,4,10,2253.6
1.6,4,11,2471.0724
1.6,4,12,2688.5448
1.6,4.5,8,1478.7468
1.6,4.5,9,1655.5734
1.6,4.5,10,1832.4
1.6,4.5,11,2009.2266
1.6,4.5,12,2186.0532
1.6,5,8,1233.4995
1.6,5,9,1380.99975
1.6,5,10,1528.5
1.6,5,11,1676.00025
1.6,5,12,1823.5005
1.6,5.5,8,1046.30778
1.6,5.5,9,1171.42389
1.6,5.5,10,1296.54
1.6,5.5,11,1421.65611
1.6,5.5,12,1546.77222
1.6,6,8,882.64818
1.6,6,9,988.19409
1.6,6,10,1093.74
1.6,6,11,1199.28591
1.6,6,12,1304.83182
2,4,8,3269.8026
2,4,9,3660.8013
2,4,10,4051.8
2,4,11,4442.7987
2,4,12,4833.7974
2,4.5,8,2746.5438
2,4.5,9,3074.9719
2,4.5,10,3403.4
2,4.5,11,3731.8281
2,4.5,12,4060.2562
2,5,8,2246.688
2,5,9,2515.344
2,5,10,2784
2,5,11,3052.656
2,5,12,3321.312
2,5.5,8,1909.5234
2,5.5,9,2137.8617
2,5.5,10,2366.2
2,5.5,11,2594.5383
2,5.5,12,2822.8766
2,6,8,1649.508
2,6,9,1846.754
2,6,10,2044
2,6,11,2241.246
2,6,12,2438.492
2.4,4,8,4983.3864
2.4,4,9,5579.2932
2.4,4,10,6175.2
2.4,4,11,6771.1068
2.4,4,12,7367.0136
2.4,4.5,8,4333.9128
2.4,4.5,9,4852.1564
2.4,4.5,10,5370.4
2.4,4.5,11,5888.6436
2.4,4.5,12,6406.8872
2.4,5,8,3622.7844
2.4,5,9,4055.9922
2.4,5,10,4489.2
2.4,5,11,4922.4078
2.4,5,12,5355.6156
2.4,5.5,8,3164.8119
2.4,5.5,9,3543.25595
2.4,5.5,10,3921.7
2.4,5.5,11,4300.14405
2.4,5.5,12,4678.5881
2.4,6,8,2690.6994
2.4,6,9,3012.4497
2.4,6,10,3334.2
2.4,6,11,3655.9503
2.4,6,12,3977.7006
2.8,4,8,7172.7774
2.8,4,9,8030.4887
2.8,4,10,8888.2
2.8,4,11,9745.9113
2.8,4,12,10603.6226
2.8,4.5,8,6057.6648
2.8,4.5,9,6782.0324
2.8,4.5,10,7506.4
2.8,4.5,11,8230.7676
2.8,4.5,12,8955.1352
2.8,5,8,5282.1378
2.8,5,9,5913.7689
2.8,5,10,6545.4
2.8,5,11,7177.0311
2.8,5,12,7808.6622
2.8,5.5,8,4586.3424
2.8,5.5,9,5134.7712
2.8,5.5,10,5683.2
2.8,5.5,11,6231.6288
2.8,5.5,12,6780.0576
2.8,6,8,4015.7934
2.8,6,9,4495.9967
2.8,6,10,4976.2
2.8,6,11,5456.4033
2.8,6,12,5936.6066
3.2,4,8,9512.5932
3.2,4,9,10650.0966
3.2,4,10,11787.6
3.2,4,11,12925.1034
3.2,4,12,14062.6068
3.2,4.5,8,8286.1146
3.2,4.5,9,9276.9573
3.2,4.5,10,10267.8
3.2,4.5,11,11258.6427
3.2,4.5,12,12249.4854
3.2,5,8,7308.0306
3.2,5,9,8181.9153
3.2,5,10,9055.8
3.2,5,11,9929.6847
3.2,5,12,10803.5694
3.2,5.5,8,6377.0754
3.2,5.5,9,7139.6377
3.2,5.5,10,7902.2
3.2,5.5,11,8664.7623
3.2,5.5,12,9427.3246
3.2,6,8,5587.9908
3.2,6,9,6256.1954
3.2,6,10,6924.4
3.2,6,11,7592.6046
3.2,6,12,8260.8092
